Time (Milis), Pressure (Pa), x (g), y (g), z (g), gx, gy, gz, Temp (C), mx, my, mz, heading (rad)
0, 91615.00,-0.28,-1.05, 0.32, 5.29, 3.06, 8.97,19.05, -113.16, -454.48, 675.28, -1.77
122, 91615.00,-0.27,-1.06, 0.32,-0.14, 1.04, 5.98,19.05, -113.16, -451.72, 676.20, -1.77
244, 91618.00,-0.25,-1.10, 0.32, 5.77, 0.28, 4.45,19.05, -122.36, -443.44, 678.96, -1.79
363, 91623.00,-0.25,-1.03, 0.39,-6.82, 6.82, 4.38,19.05, -120.52, -417.68, 678.04, -1.81
481, 91610.00,-0.25,-1.06, 0.31, 1.46, 3.76, 4.38,19.06, -128.80, -425.04, 681.72, -1.82
605, 91620.00,-0.29,-1.04, 0.33, 7.72, 1.11, 6.47,19.05, -122.36, -416.76, 679.88, -1.81
737, 91610.00,-0.23,-1.07, 0.38,-3.76, 5.36, 5.50,19.05, -123.28, -436.08, 681.72, -1.80
856, 91620.00,-0.28,-1.05, 0.33, 1.81, 8.49, 8.83,19.05, -114.08, -425.04, 689.08, -1.79
973, 91615.00,-0.26,-1.08, 0.35, 0.97, 6.75, 5.01,19.06, -122.36, -428.72, 683.56, -1.80
1092, 91618.00,-0.27,-1.06, 0.29, 5.36, 2.71, 7.51,19.06, -117.76, -417.68, 680.80, -1.80
1210, 91623.00,-0.25,-1.10, 0.32, 8.28, 3.20, 7.44,19.06, -121.44, -420.44, 679.88, -1.81
1337, 91615.00,-0.29,-1.05, 0.27,13.63,-3.97, 5.63,19.06, -128.80, -442.52, 672.52, -1.81
1456, 91618.00,-0.26,-1.06, 0.31, 1.18, 0.56, 4.24,19.06, -134.32, -428.72, 675.28, -1.83
1588, 91615.00,-0.21,-1.05, 0.31, 4.31, 4.38, 6.05,19.08, -136.16, -430.56, 674.36, -1.83
1713, 91618.00,-0.23,-1.14, 0.31, 5.91, 3.55, 7.72,19.06, -137.08, -438.84, 668.84, -1.83
1832, 91610.00,-0.22,-1.08, 0.30,17.25, 0.63,21.63,19.05, -119.60, -452.64, 667.00, -1.78
1953, 91610.00,-0.37,-0.94, 0.32,-1.67,13.91,21.50,19.06, -123.28, -437.92, 683.56, -1.80
2072, 91615.00,-0.09,-1.34, 0.22,-47.17,73.60,14.40,19.06, -117.76, -401.12, 709.32, -1.81
2192, 91610.00,-0.42,-1.10, 0.28,-31.37,-40.83,20.59,19.08, -136.16, -365.24, 730.48, -1.88
2311, 91605.00, 0.00,-1.43, 0.10,-26.99,159.17,-14.12,19.08, -166.52, -357.88, 705.64, -1.96
2444, 91607.00,-0.28,-1.19, 0.02,-25.04,-126.61, 9.53,19.10, -218.96, -260.36, 700.12, -2.22
2563, 91607.00,-0.23,-1.43, 0.00, 2.99,17.32,23.23,19.10, -205.16, -264.04, 680.80, -2.19
2688, 91602.00,-0.17,-1.08, 0.00,41.18,-1.04,26.23,19.10, -218.04, -281.52, 649.52, -2.18
2806, 91605.00,-0.35,-1.12,-0.04,36.80,-66.99, 5.01,19.17, -233.68, -279.68, 630.20, -2.22
2925, 91602.00,-0.33,-1.09,-0.04,-9.60,-14.96, 6.40,19.20, -233.68, -282.44, 632.96, -2.22
3050, 91602.00,-0.30,-1.10,-0.02,-60.52,-26.78, 3.83,19.08, -250.24, -80.96, 675.28, -2.78
3436, 91602.00,-0.27,-1.24,-0.02,74.92,62.75,18.02,19.09, -299.00, -263.12, 653.20, -2.37
3552, 91599.00,-0.23,-1.14,-0.01, 0.14,69.29,59.83,19.10, -179.40, -352.36, 729.56, -2.00
3682, 91596.00,-0.28,-1.14,-0.01,-64.14,51.48,34.37,19.15, -38.64, -297.16, 839.96, -1.65
3802, 91602.00,-0.26,-1.31, 0.01,-28.66,31.44,-27.62,19.14, -64.40, -240.12, 882.28, -1.79
3921, 91591.00,-0.15,-1.40, 0.00,23.37,41.74,-26.85,19.11, -167.44, -287.04, 858.36, -2.05
4039, 91602.00,-0.24,-1.21, 0.00,33.39,63.86,30.12,19.15, -146.28, -337.64, 836.28, -1.93
4158, 91602.00,-0.16,-1.46, 0.06,52.87,55.17,17.60,19.14, -106.72, -444.36, 771.88, -1.76
4288, 91602.00,-0.32,-1.06,-0.03,23.86,-4.66,-46.19,19.09, -144.44, -506.00, 656.88, -1.80
4407, 91602.00,-0.35,-1.03,-0.07,-66.37,-4.10,-10.43,19.16, -195.04, -400.20, 672.52, -1.98
4526, 91596.00,-0.23,-1.24,-0.01,-78.89, 0.49,55.10,19.19, -115.00, -284.28, 741.52, -1.91
4644, 91596.00,-0.29,-1.01,-0.02,10.85,21.77,41.18,19.14, -26.68, -305.44, 709.32, -1.61
4763, 91602.00,-0.27,-1.20,-0.04,100.66,47.10,-0.70,19.13,  0.92, -426.88, 571.32, -1.52
4887, 91596.00,-0.27,-1.17,-0.03,96.28,35.41,-32.21,19.18, -3.68, -482.08, 443.44, -1.53
5009, 91599.00,-0.30,-1.09,-0.04,20.24, 4.17,-45.29,19.19, -40.48, -460.92, 425.04, -1.61
5141, 91599.00,-0.24,-1.18,-0.02,-74.09,-4.03, 8.42,19.16, -47.84, -411.24, 449.88, -1.64
5260, 91602.00,-0.26,-1.24,-0.02,-70.33, 6.68,52.10,19.18, -7.36, -346.84, 530.84, -1.55
5394, 91599.00,-0.23,-1.25,-0.01,37.63, 8.00,14.33,19.22, 26.68, -339.48, 530.84, -1.45
5513, 91594.00,-0.29,-1.23,-0.03,111.44,-10.71,-24.21,19.13, -1.84, -414.00, 449.88, -1.53
5649, 91594.00,-0.29,-1.10,-0.04,49.46,-30.82,-6.89,19.24, -36.80, -448.04, 387.32, -1.61
5774, 91594.00,-0.31,-1.21,-0.02,-46.82,-71.44,-5.29,19.18, -104.88, -392.84, 422.28, -1.79
5899, 91596.00,-0.27,-1.16,-0.02,-40.63,-86.82,57.46,19.21, -142.60, -336.72, 499.56, -1.93
6032, 91605.00,-0.28,-1.15,-0.02,-2.71,-48.97,106.85,19.25, -41.40, -322.00, 595.24, -1.65
6157, 91599.00,-0.22,-1.25, 0.00,30.82,-51.62,38.40,19.23, 20.24, -358.80, 633.88, -1.47
6282, 91594.00,-0.24,-1.26,-0.01,-3.27,-56.70, 6.19,19.25, -14.72, -325.68, 669.76, -1.57
6410, 91591.00,-0.31,-1.02,-0.04,-71.93,-58.85,-21.63,19.22, -91.08, -181.24, 710.24, -1.99
