Time (Milis), Pressure (Pa), x (g), y (g), z (g), gx, gy, gz, Temp (C), mx, my, mz, heading (rad)
0, 91610.00,-0.29,-1.23,-0.05,14.47, 6.61,30.89,19.05, 367.08, -171.12, 459.08, -0.39
123, 91615.00,-0.30,-1.14,-0.05,23.17,29.29,40.90,19.05, 400.20, -178.48, 439.76, -0.37
245, 91607.00,-0.31,-1.08,-0.07,11.97,-34.78,21.63,19.05, 429.64, -195.96, 422.28, -0.38
363, 91610.00,-0.27,-1.14,-0.04,-9.88, 3.62,-33.95,19.04, 391.00, -195.96, 450.80, -0.42
482, 91618.00,-0.26,-1.16,-0.05, 5.15,-37.57,-22.96,19.05, 349.60, -201.48, 468.28, -0.48
604, 91629.00,-0.29,-1.15,-0.04, 9.81,-10.78,-22.26,19.04, 321.08, -213.44, 481.16, -0.54
742, 91623.00,-0.26,-1.26,-0.03,-20.52, 8.90,19.20,19.04, 331.20, -193.20, 480.24, -0.48
1027, 91620.00,-0.26,-1.13,-0.03,32.97,36.31,-14.61,19.02, 402.04, -185.84, 453.56, -0.39
1211, 91620.00,-0.29,-1.13,-0.04, 6.96,-39.17,-13.01,19.04, 369.84, -197.80, 468.28, -0.45
1331, 91618.00,-0.27,-1.22,-0.02,-9.46,-30.75,-12.31,19.05, 347.76, -206.08, 478.40, -0.49
1450, 91610.00,-0.29,-1.23,-0.03,-6.61,-39.17,29.98,19.05, 369.84, -209.76, 470.12, -0.47
1572, 91620.00,-0.29,-1.21,-0.04,10.71,12.38,52.10,19.05, 420.44, -211.60, 437.92, -0.42
1705, 91618.00,-0.23,-1.18,-0.03,38.12,12.31,39.17,19.04, 455.40, -240.12, 409.40, -0.44
1824, 91620.00,-0.29,-1.14,-0.05,29.91,-17.11, 2.78,19.05, 447.12, -263.12, 410.32, -0.49
1949, 91620.00,-0.32,-1.12,-0.05,-8.77,-5.01,-16.97,19.05, 433.32, -261.28, 415.84, -0.50
2067, 91615.00,-0.26,-1.22,-0.03,-42.92,-4.73,-12.10,19.05, 407.56, -235.52, 445.28, -0.48
2192, 91620.00,-0.25,-1.32,-0.01,-26.85,34.50, 8.83,19.05, 405.72, -184.00, 453.56, -0.38
2311, 91620.00,-0.27,-1.17,-0.02,38.05,-24.00,-6.40,19.05, 389.16, -219.88, 455.40, -0.47
2429, 91626.00,-0.30,-1.17,-0.03,38.89,-14.12,-2.30,19.05, 379.04, -262.20, 448.96, -0.56
2562, 91620.00,-0.31,-1.12,-0.05, 7.03,-17.67, 3.20,19.05, 372.60, -278.76, 446.20, -0.60
2687, 91615.00,-0.26,-1.29,-0.01,-0.42,-18.64,40.97,19.05, 391.00, -274.16, 429.64, -0.57
