Time (Milis), Pressure (Pa), x (g), y (g), z (g), gx, gy, gz, Temp (C), mx, my, mz, heading (rad)
0, 93760.00, 0.16, 0.45, 0.73, 6.75, 0.14, 5.77,24.18, -66.24, -403.88, -212.52, -1.69
84, 93763.00, 0.16, 0.45, 0.72, 6.75, 0.07, 5.77,24.15, -64.40, -399.28, -213.44, -1.69
168, 93757.00, 0.17, 0.46, 0.72, 6.75, 0.21, 5.77,24.15, -66.24, -400.20, -214.36, -1.69
252, 93760.00, 0.17, 0.45, 0.73, 6.68, 0.14, 5.70,24.17, -64.40, -398.36, -213.44, -1.69
336, 93763.00, 0.16, 0.45, 0.73, 6.61, 0.14, 5.77,24.13, -67.16, -400.20, -213.44, -1.69
423, 93757.00, 0.17, 0.46, 0.73, 6.68, 0.21, 5.70,24.15, -65.32, -398.36, -213.44, -1.69
507, 93755.00, 0.16, 0.45, 0.72, 6.61, 0.07, 5.77,24.17, -63.48, -399.28, -214.36, -1.68
591, 93769.00, 0.16, 0.46, 0.72, 6.61, 0.14, 5.77,24.18, -63.48, -399.28, -210.68, -1.68
675, 93769.00, 0.16, 0.45, 0.72, 6.61, 0.14, 5.77,24.15, -63.48, -401.12, -215.28, -1.68
759, 93769.00, 0.17, 0.45, 0.73, 6.68,-0.07, 5.77,24.15, -62.56, -399.28, -213.44, -1.68
850, 93760.00, 0.17, 0.46, 0.73, 6.61, 0.14, 5.77,24.16, -67.16, -400.20, -213.44, -1.69
937, 93769.00, 0.18, 0.45, 0.72, 6.61, 0.07, 5.77,24.15, -65.32, -401.12, -211.60, -1.69
1021, 93757.00, 0.17, 0.45, 0.73, 6.61, 0.07, 5.77,24.13, -67.16, -401.12, -211.60, -1.69
1105, 93760.00, 0.17, 0.46, 0.73, 6.68, 0.21, 5.70,24.13, -67.16, -400.20, -213.44, -1.69
1195, 93763.00, 0.17, 0.45, 0.73, 6.61,-0.14, 5.77,24.15, -68.08, -401.12, -215.28, -1.69
1279, 93757.00, 0.16, 0.45, 0.72, 6.54, 0.07, 5.70,24.19, -64.40, -400.20, -211.60, -1.68
1365, 93771.00, 0.16, 0.46, 0.74, 6.54, 0.07, 5.77,24.17, -67.16, -399.28, -213.44, -1.69
1450, 93760.00, 0.16, 0.46, 0.73, 6.68,-0.07, 5.70,24.15, -62.56, -400.20, -211.60, -1.68
1534, 93760.00, 0.17, 0.46, 0.72, 6.61, 0.21, 5.77,24.19, -65.32, -399.28, -213.44, -1.69
1618, 93757.00, 0.16, 0.45, 0.73, 6.68, 0.07, 5.70,24.13, -65.32, -398.36, -212.52, -1.69
1702, 93766.00, 0.17, 0.46, 0.72, 6.54, 0.07, 5.70,24.21, -64.40, -397.44, -214.36, -1.69
1786, 93760.00, 0.16, 0.46, 0.72, 6.61, 0.07, 5.70,24.19, -66.24, -399.28, -216.20, -1.69
1873, 93771.00, 0.17, 0.46, 0.73, 6.75, 0.07, 5.77,24.15, -65.32, -401.12, -214.36, -1.69
1964, 93752.00, 0.15, 0.45, 0.72, 6.68, 0.14, 5.70,24.16, -62.56, -399.28, -213.44, -1.68
2048, 93757.00, 0.17, 0.46, 0.73, 6.54, 0.07, 5.70,24.18, -65.32, -402.04, -212.52, -1.69
2132, 93760.00, 0.16, 0.44, 0.72, 6.68,-0.14, 5.70,24.18, -64.40, -396.52, -214.36, -1.69
2216, 93766.00, 0.16, 0.46, 0.73, 6.61, 0.07, 5.70,24.11, -64.40, -401.12, -214.36, -1.68
2300, 93757.00, 0.17, 0.45, 0.73, 6.54,-0.14, 5.70,24.19, -63.48, -398.36, -215.28, -1.68
2392, 93760.00, 0.16, 0.46, 0.73, 6.47, 0.00, 5.70,24.15, -63.48, -398.36, -214.36, -1.68
2476, 93760.00, 0.16, 0.45, 0.72, 6.47,-0.07, 5.63,24.16, -65.32, -401.12, -214.36, -1.69
2560, 93757.00, 0.16, 0.45, 0.73, 6.54, 0.00, 5.70,24.19, -63.48, -402.04, -214.36, -1.68
2645, 93755.00, 0.16, 0.46, 0.72, 6.54,-0.14, 5.57,24.13, -65.32, -400.20, -214.36, -1.69
2729, 93760.00, 0.17, 0.45, 0.73, 6.33,-0.07, 5.77,24.16, -62.56, -399.28, -213.44, -1.68
