Time (Milis), Pressure (Pa), x (g), y (g), z (g), gx, gy, gz, Temp (C), mx, my, mz, heading (rad)
0, 91451.00,-0.34,-1.08, 0.06,25.95,29.08,15.37,19.67, 429.64, -387.32, 526.24, -0.69
124, 91454.00,-0.32,-1.17, 0.07, 0.70,-56.07,-9.18,19.69, 386.40, -388.24, 544.64, -0.74
277, 91454.00,-0.38,-1.14, 0.09,10.37,-50.16,15.86,19.68, 382.72, -400.20, 544.64, -0.76
398, 91457.00,-0.26,-1.26, 0.00,73.32,18.23,14.12,19.70, 424.12, -424.12, 516.12, -0.74
518, 91471.00,-0.43,-1.08,-0.08,-84.94,-63.86,-36.59,19.69, 329.36, -349.60, 625.60, -0.77
642, 91460.00,-0.25,-1.27, 0.06,-100.52,-21.84,20.24,19.70, 318.32, -288.88, 663.32, -0.69
762, 91457.00,-0.22,-1.25,-0.00,60.94,104.21,-9.11,19.70, 345.00, -330.28, 644.92, -0.72
893, 91460.00,-0.35,-1.31,-0.12,53.57,-53.36,60.80,19.73, 410.32, -341.32, 603.52, -0.65
1013, 91457.00,-0.27,-1.14,-0.00,17.32,116.87,-11.34,19.71, 434.24, -359.72, 577.76, -0.65
1134, 91462.00,-0.21,-1.15, 0.02,-19.13,-115.69,-0.77,19.74, 352.36, -375.36, 609.96, -0.77
1255, 91449.00,-0.87,-1.47,-0.00,-4.10,-119.44,38.40,19.74, 314.64, -388.24, 637.56, -0.84
1380, 91462.00, 0.10,-1.20, 0.19,47.58,25.11,-35.76,19.75, 307.28, -444.36, 607.20, -0.92
1501, 91454.00,-0.35,-1.02, 0.13,77.84,23.65,-25.39,19.75, 325.68, -509.68, 575.00, -0.96
1623, 91451.00,-0.20,-1.07,-0.02, 8.90,81.25,-13.98,19.76, 402.96, -457.24, 612.72, -0.80
1755, 91457.00,-0.26,-1.11, 0.10,-23.37,-9.11, 3.34,19.74, 398.36, -369.84, 678.96, -0.70
2143, 91462.00,-0.26,-1.19,-0.00,59.76,35.20,-14.89,19.74, 375.36, -190.44, 727.72, -0.42
2433, 91454.00,-0.21,-1.16,-0.00,36.10,51.62,-4.10,19.77, 358.80, -241.04, 736.92, -0.55
