Time (Milis), Pressure (Pa), x (g), y (g), z (g), gx, gy, gz, Temp (C), mx, my, mz, heading (rad)
0, 95418.00, 0.13, 0.00, 0.81, 6.68,-0.07, 5.77,23.09, 257.60, -537.28, 34.04, -1.08
76, 95421.00, 0.13, 0.01, 0.83, 6.61,-0.07, 5.77,23.16, 258.52, -538.20, 34.96, -1.08
151, 95423.00, 0.13, 0.02, 0.82, 6.68, 0.00, 5.70,23.18, 254.84, -539.12, 34.96, -1.08
227, 95412.00, 0.13, 0.01, 0.81, 6.68,-0.07, 5.77,23.10, 259.44, -537.28, 34.96, -1.08
303, 95412.00, 0.13, 0.01, 0.81, 6.68,-0.07, 5.70,23.05, 256.68, -540.04, 34.04, -1.08
382, 95418.00, 0.12, 0.02, 0.80, 6.68, 0.00, 5.77,23.17, 258.52, -535.44, 34.96, -1.08
457, 95418.00, 0.13, 0.03, 0.82, 6.75, 0.00, 5.70,23.17, 257.60, -538.20, 36.80, -1.08
533, 95421.00, 0.14, 0.01, 0.81, 6.75, 0.00, 5.77,23.15, 257.60, -538.20, 35.88, -1.08
609, 95418.00, 0.14, 0.00, 0.84, 6.75,-0.07, 5.77,23.11, 257.60, -539.12, 32.20, -1.08
686, 95423.00, 0.13, 0.01, 0.87, 6.61,-0.07, 5.70,23.08, 261.28, -537.28, 34.04, -1.07
762, 95423.00, 0.13, 0.01, 0.80, 6.75, 0.00, 5.77,23.04, 258.52, -538.20, 35.88, -1.08
839, 95418.00, 0.13, 0.02, 0.81, 6.75, 0.00, 5.70,23.17, 257.60, -539.12, 34.96, -1.08
981, 95415.00, 0.12, 0.01, 0.81, 6.68, 0.00, 5.77,23.17, 257.60, -535.44, 34.96, -1.08
1057, 95418.00, 0.13, 0.00, 0.81, 6.68, 0.07, 5.77,23.08, 257.60, -536.36, 37.72, -1.08
1133, 95418.00, 0.12, 0.01, 0.80, 6.75, 0.00, 5.77,23.08, 258.52, -536.36, 35.88, -1.08
1209, 95421.00, 0.13, 0.01, 0.82, 6.68,-0.07, 5.77,23.09, 257.60, -538.20, 34.04, -1.08
1285, 95418.00, 0.13, 0.01, 0.82, 6.68, 0.00, 5.77,23.12, 256.68, -537.28, 34.04, -1.08
1364, 95415.00, 0.12, 0.02, 0.81, 6.68, 0.00, 5.77,23.17, 257.60, -537.28, 33.12, -1.08
1439, 95412.00, 0.12, 0.01, 0.81, 6.68, 0.00, 5.77,23.11, 257.60, -536.36, 33.12, -1.08
1515, 95409.00, 0.12, 0.01, 0.81, 6.68,-0.07, 5.77,23.13, 257.60, -536.36, 34.04, -1.08
1591, 95418.00, 0.13, 0.02, 0.82, 6.68, 0.00, 5.77,23.06, 257.60, -539.12, 34.96, -1.08
1667, 95412.00, 0.13, 0.02, 0.82, 6.68,-0.07, 5.77,23.14, 256.68, -538.20, 34.96, -1.08
1744, 95418.00, 0.14, 0.01, 0.82, 6.68, 0.00, 5.77,23.10, 254.84, -538.20, 34.04, -1.08
1821, 95407.00, 0.12, 0.01, 0.82, 6.68, 0.00, 5.77,23.14, 258.52, -538.20, 35.88, -1.08
1902, 95407.00, 0.12, 0.01, 0.82, 6.68,-0.07, 5.77,23.13, 258.52, -536.36, 37.72, -1.08
1983, 95415.00, 0.13, 0.01, 0.81, 6.68, 0.00, 5.77,23.18, 257.60, -540.04, 33.12, -1.08
2059, 95418.00, 0.11, 0.01, 0.82, 6.68,-0.07, 5.70,23.00, 255.76, -536.36, 35.88, -1.08
2136, 95418.00, 0.13, 0.01, 0.82, 6.68, 0.00, 5.77,22.99, 259.44, -538.20, 35.88, -1.08
2214, 95412.00, 0.13, 0.02, 0.82, 6.75,-0.07, 5.77,23.04, 257.60, -538.20, 35.88, -1.08
2289, 95407.00, 0.12, 0.01, 0.80, 6.75, 0.00, 5.77,22.98, 258.52, -537.28, 34.96, -1.08
2365, 95423.00, 0.13, 0.00, 0.82, 6.75,-0.07, 5.77,23.04, 257.60, -536.36, 35.88, -1.08
2442, 95412.00, 0.13, 0.00, 0.80, 6.68,-0.07, 5.70,23.07, 260.36, -536.36, 35.88, -1.07
2518, 95429.00, 0.13, 0.01, 0.82, 6.68, 0.00, 5.77,22.98, 257.60, -536.36, 35.88, -1.08
2594, 95418.00, 0.13, 0.02, 0.82, 6.75, 0.00, 5.77,23.09, 256.68, -537.28, 36.80, -1.08
2672, 95421.00, 0.13, 0.01, 0.82, 6.68,-0.07, 5.70,23.11, 258.52, -539.12, 34.96, -1.08
2748, 95421.00, 0.13, 0.01, 0.82, 6.68, 0.00, 5.70,23.05, 256.68, -538.20, 34.96, -1.08
2824, 95426.00, 0.12, 0.01, 0.83, 6.68, 0.00, 5.70,22.98, 259.44, -539.12, 34.04, -1.08
2900, 95421.00, 0.12, 0.01, 0.81, 6.68, 0.00, 5.77,22.97, 257.60, -538.20, 34.96, -1.08
2981, 95412.00, 0.12, 0.02, 0.82, 6.68,-0.07, 5.77,23.01, 257.60, -536.36, 35.88, -1.08
