Time (Milis), Pressure (Pa), x (g), y (g), z (g), gx, gy, gz, Temp (C), mx, my, mz, heading (rad)
0, 90524.00,-0.47,-0.31, 0.84, 5.50, 2.43, 7.51,23.40, 135.24, -677.12, 415.84, -1.33
128, 90521.00,-0.46,-0.31, 0.83, 5.43, 2.37, 7.44,23.39, 138.92, -678.96, 415.84, -1.32
258, 90524.00,-0.46,-0.31, 0.84, 5.50, 2.43, 7.44,23.39, 136.16, -679.88, 417.68, -1.33
396, 90526.00,-0.46,-0.31, 0.84, 5.50, 2.43, 7.44,23.40, 138.00, -677.12, 415.84, -1.32
518, 90524.00,-0.46,-0.30, 0.85, 5.50, 2.43, 7.51,23.36, 135.24, -682.64, 413.08, -1.33
648, 90524.00,-0.46,-0.30, 0.84, 5.50, 2.50, 7.51,23.39, 134.32, -678.96, 414.92, -1.33
778, 90532.00,-0.46,-0.31, 0.83, 5.50, 2.43, 7.51,23.39, 136.16, -679.88, 416.76, -1.33
908, 90529.00,-0.47,-0.31, 0.84, 5.50, 2.43, 7.51,23.40, 135.24, -681.72, 416.76, -1.33
1038, 90524.00,-0.46,-0.31, 0.83, 5.50, 2.37, 7.44,23.40, 135.24, -681.72, 416.76, -1.33
1169, 90524.00,-0.46,-0.31, 0.83, 5.50, 2.43, 7.51,23.40, 137.08, -678.96, 414.00, -1.33
1300, 90521.00,-0.46,-0.31, 0.83, 5.50, 2.43, 7.51,23.39, 137.08, -677.12, 414.92, -1.33
1431, 90521.00,-0.47,-0.30, 0.84, 5.50, 2.50, 7.51,23.40, 138.00, -677.12, 414.00, -1.32
1562, 90526.00,-0.46,-0.32, 0.83, 5.50, 2.43, 7.51,23.39, 136.16, -678.04, 413.08, -1.33
1694, 90524.00,-0.46,-0.31, 0.83, 5.50, 2.43, 7.51,23.40, 134.32, -681.72, 417.68, -1.33
1825, 90524.00,-0.47,-0.32, 0.84, 5.50, 2.43, 7.51,23.39, 136.16, -680.80, 414.00, -1.33
1955, 90529.00,-0.47,-0.30, 0.83, 5.50, 2.43, 7.51,23.37, 137.08, -679.88, 414.00, -1.33
2086, 90521.00,-0.46,-0.30, 0.83, 5.50, 2.50, 7.51,23.39, 137.08, -678.96, 413.08, -1.33
2218, 90521.00,-0.47,-0.31, 0.84, 5.50, 2.43, 7.44,23.40, 137.08, -679.88, 415.84, -1.33
2348, 90526.00,-0.47,-0.31, 0.84, 5.50, 2.43, 7.51,23.38, 137.08, -675.28, 414.92, -1.32
2479, 90526.00,-0.47,-0.31, 0.84, 5.50, 2.43, 7.51,23.39, 137.08, -679.88, 413.08, -1.33
2610, 90521.00,-0.46,-0.31, 0.83, 5.50, 2.43, 7.44,23.40, 137.08, -678.04, 414.92, -1.33
2741, 90521.00,-0.47,-0.31, 0.83, 5.50, 2.43, 7.51,23.37, 138.00, -678.96, 415.84, -1.32
2872, 90521.00,-0.47,-0.31, 0.83, 5.50, 2.30, 7.44,23.39, 136.16, -682.64, 414.00, -1.33
3003, 90529.00,-0.45,-0.30, 0.83, 5.50, 2.64, 7.51,23.39, 138.00, -678.04, 414.92, -1.32
3134, 90529.00,-0.47,-0.31, 0.84, 5.50, 2.50, 7.44,23.36, 139.84, -678.96, 416.76, -1.32
3265, 90524.00,-0.46,-0.31, 0.84, 5.43, 2.71, 7.51,23.38, 138.00, -678.96, 415.84, -1.32
3396, 90518.00,-0.48,-0.30, 0.83, 5.29, 0.00, 7.30,23.38, 135.24, -679.88, 416.76, -1.33
3527, 90521.00,-0.46,-0.30, 0.83, 5.57, 3.20, 7.51,23.39, 135.24, -678.96, 416.76, -1.33
3659, 90521.00,-0.48,-0.30, 0.83, 5.50, 1.67, 7.44,23.37, 138.00, -679.88, 414.00, -1.32
3790, 90518.00,-0.46,-0.31, 0.84, 5.43, 1.95, 7.51,23.39, 135.24, -678.96, 416.76, -1.33
3921, 90524.00,-0.46,-0.31, 0.83, 5.63, 3.34, 7.72,23.41, 138.00, -679.88, 415.84, -1.32
4074, 90518.00,-0.41,-0.08, 0.38,-23.79,-32.21, 3.90,23.39, 158.24, -668.84, 471.04, -1.29
4185, 90518.00,-0.74, 0.12, 0.63,12.17,36.10,-26.50,23.40, 146.28, -659.64, 487.60, -1.31
4317, 90518.00,-0.76,-0.28, 0.66,96.90,71.23,16.14,23.37, 302.68, -686.32, 304.52, -1.11
4448, 90521.00,-0.66,-0.09, 0.70,57.04,-57.60,-18.09,23.38, 235.52, -708.40, 214.36, -1.20
4581, 90518.00,-0.82, 0.02, 0.66,18.37,-123.97,32.00,23.39, 76.36, -724.96, 149.96, -1.42
4712, 90518.00,-0.34, 0.03, 0.73, 3.20,25.60,-16.21,23.39,  5.52, -724.04, 142.60, -1.52
4842, 90521.00,-0.30, 0.09, 1.05,28.73,-24.28,36.59,23.39, -53.36, -727.72, 145.36, -1.60
