Time (Milis), Pressure (Pa), x (g), y (g), z (g), gx, gy, gz, Temp (C), mx, my, mz, heading (rad)
0, 93505.00, 0.09, 0.07, 0.81, 6.82,-0.14, 5.77,22.06, -104.88, -697.36, 113.16, -1.67
92, 93505.00, 0.09, 0.06, 0.81, 6.82,-0.07, 5.77,22.05, -103.96, -698.28, 111.32, -1.67
184, 93502.00, 0.09, 0.07, 0.82, 6.75,-0.14, 5.70,22.04, -103.04, -693.68, 115.92, -1.67
277, 93511.00, 0.09, 0.07, 0.81, 6.75,-0.14, 5.77,22.09, -105.80, -696.44, 114.08, -1.68
369, 93500.00, 0.09, 0.07, 0.81, 6.82,-0.14, 5.77,22.06, -104.88, -698.28, 114.08, -1.67
463, 93502.00, 0.09, 0.07, 0.81, 6.75,-0.07, 5.70,22.05, -105.80, -695.52, 111.32, -1.68
556, 93500.00, 0.09, 0.07, 0.82, 6.82,-0.14, 5.77,22.05, -103.96, -696.44, 115.00, -1.67
648, 93516.00, 0.09, 0.07, 0.81, 6.82,-0.14, 5.70,22.06, -103.96, -696.44, 112.24, -1.67
739, 93500.00, 0.09, 0.07, 0.82, 6.75,-0.14, 5.77,22.07, -102.12, -696.44, 114.08, -1.67
832, 93502.00, 0.10, 0.06, 0.82, 6.82,-0.14, 5.70,22.05, -105.80, -698.28, 115.00, -1.68
924, 93505.00, 0.09, 0.06, 0.82, 6.82,-0.14, 5.70,22.06, -103.96, -698.28, 114.08, -1.67
1021, 93508.00, 0.09, 0.07, 0.81, 6.82,-0.07, 5.77,22.08, -105.80, -696.44, 115.92, -1.68
1112, 93508.00, 0.08, 0.06, 0.82, 6.82,-0.14, 5.70,22.05, -104.88, -694.60, 114.08, -1.67
1204, 93508.00, 0.09, 0.07, 0.82, 6.82,-0.14, 5.70,22.06, -104.88, -697.36, 116.84, -1.67
1296, 93511.00, 0.09, 0.07, 0.82, 6.75,-0.07, 5.70,22.05, -104.88, -695.52, 115.00, -1.67
1389, 93505.00, 0.10, 0.06, 0.81, 6.82,-0.14, 5.77,22.05, -107.64, -695.52, 113.16, -1.68
1483, 93508.00, 0.09, 0.06, 0.80, 6.82,-0.07, 5.77,22.06, -103.96, -697.36, 115.00, -1.67
1575, 93511.00, 0.09, 0.06, 0.81, 6.82,-0.14, 5.77,22.07, -106.72, -696.44, 111.32, -1.68
1667, 93505.00, 0.10, 0.06, 0.82, 6.82,-0.14, 5.70,22.04, -103.96, -698.28, 112.24, -1.67
1759, 93505.00, 0.09, 0.07, 0.81, 6.75,-0.14, 5.70,22.05, -104.88, -695.52, 115.00, -1.67
1853, 93500.00, 0.08, 0.07, 0.81, 6.82,-0.07, 5.70,22.05, -102.12, -695.52, 117.76, -1.67
1944, 93497.00, 0.08, 0.06, 0.82, 6.75,-0.14, 5.70,22.06, -105.80, -696.44, 114.08, -1.68
2039, 93508.00, 0.09, 0.06, 0.82, 6.82,-0.14, 5.70,22.05, -105.80, -697.36, 115.00, -1.68
2131, 93514.00, 0.09, 0.06, 0.82, 6.82,-0.14, 5.77,22.05, -105.80, -696.44, 114.08, -1.68
2228, 93497.00, 0.08, 0.06, 0.81, 6.75,-0.07, 5.70,22.07, -104.88, -697.36, 116.84, -1.67
2326, 93516.00, 0.09, 0.07, 0.81, 6.82,-0.07, 5.70,22.07, -103.96, -698.28, 113.16, -1.67
2418, 93516.00, 0.09, 0.07, 0.82, 6.82,-0.14, 5.70,22.05, -104.88, -696.44, 114.08, -1.67
2510, 93500.00, 0.08, 0.07, 0.81, 6.82,-0.07, 5.70,22.05, -104.88, -699.20, 113.16, -1.67
2604, 93508.00, 0.09, 0.07, 0.82, 6.75,-0.14, 5.70,22.06, -103.04, -698.28, 114.08, -1.67
2696, 93511.00, 0.10, 0.07, 0.82, 6.75,-0.07, 5.77,22.06, -103.96, -699.20, 116.84, -1.67
2788, 93508.00, 0.09, 0.06, 0.82, 6.82,-0.07, 5.70,22.05, -103.96, -698.28, 114.08, -1.67
2880, 93508.00, 0.09, 0.07, 0.81, 6.82,-0.14, 5.77,22.07, -103.96, -699.20, 115.00, -1.67
2972, 93514.00, 0.09, 0.06, 0.82, 6.75,-0.14, 5.70,22.16, -101.20, -698.28, 116.84, -1.67
3067, 93505.00, 0.08, 0.07, 0.81, 6.82,-0.14, 5.70,22.11, -103.96, -696.44, 115.92, -1.67
3160, 93502.00, 0.09, 0.06, 0.81, 6.82,-0.14, 5.70,22.08, -103.04, -697.36, 113.16, -1.67
3252, 93511.00, 0.09, 0.06, 0.83, 6.82,-0.07, 5.70,22.05, -103.96, -696.44, 114.08, -1.67
3344, 93516.00, 0.09, 0.06, 0.81, 6.82,-0.14, 5.70,22.07, -104.88, -696.44, 115.00, -1.67
3437, 93500.00, 0.09, 0.06, 0.81, 6.82,-0.07, 5.77,22.12, -105.80, -697.36, 115.00, -1.68
3546, 93502.00, 0.09, 0.05, 0.82, 6.75,-0.14, 5.70,22.09, -104.88, -696.44, 113.16, -1.67
3647, 93511.00, 0.09, 0.07, 0.82, 6.82,-0.14, 5.70,22.06, -106.72, -696.44, 112.24, -1.68
3739, 93514.00, 0.09, 0.07, 0.82, 6.75,-0.07, 5.70,22.06, -103.96, -695.52, 115.00, -1.67
3831, 93511.00, 0.08, 0.07, 0.81, 6.75,-0.14, 5.70,22.05, -103.04, -695.52, 114.08, -1.67
3922, 93505.00, 0.09, 0.06, 0.82, 6.82,-0.14, 5.70,22.09, -103.96, -696.44, 115.00, -1.67
4014, 93502.00, 0.09, 0.07, 0.82, 6.75,-0.14, 5.70,22.06, -105.80, -696.44, 112.24, -1.68
4106, 93505.00, 0.08, 0.08, 0.82, 6.82,-0.07, 5.77,22.07, -102.12, -695.52, 114.08, -1.67
4214, 93505.00, 0.09, 0.06, 0.82, 6.82,-0.14, 5.70,22.05, -106.72, -699.20, 115.92, -1.68
4311, 93508.00, 0.09, 0.05, 0.82, 6.82,-0.07, 5.70,22.05, -103.96, -695.52, 114.08, -1.67
4409, 93505.00, 0.09, 0.06, 0.81, 6.82,-0.14, 5.70,22.05, -105.80, -697.36, 113.16, -1.68
4507, 93491.00, 0.09, 0.06, 0.82, 6.82,-0.07, 5.77,22.06, -106.72, -697.36, 114.08, -1.68
4603, 93502.00, 0.09, 0.06, 0.82, 6.82,-0.07, 5.70,22.07, -103.96, -698.28, 113.16, -1.67
4703, 93500.00, 0.08, 0.06, 0.82, 6.75,-0.07, 5.70,22.06, -104.88, -695.52, 115.00, -1.67
4800, 93505.00, 0.07, 0.07, 0.82, 6.75,-0.14, 5.70,22.06, -104.88, -696.44, 113.16, -1.67
4912, 93508.00, 0.09, 0.07, 0.81, 6.82,-0.07, 5.77,22.06, -109.48, -695.52, 113.16, -1.68
5010, 93497.00, 0.08, 0.07, 0.82, 6.75,-0.07, 5.70,22.08, -103.96, -695.52, 113.16, -1.67
5107, 93508.00, 0.08, 0.07, 0.82, 6.75,-0.07, 5.77,22.05, -103.96, -695.52, 115.92, -1.67
5203, 93505.00, 0.08, 0.07, 0.81, 6.82,-0.14, 5.70,22.05, -103.96, -697.36, 114.08, -1.67
5303, 93511.00, 0.08, 0.06, 0.82, 6.75,-0.07, 5.70,22.08, -102.12, -697.36, 111.32, -1.67
5400, 93500.00, 0.09, 0.06, 0.82, 6.82,-0.14, 5.70,22.05, -103.96, -698.28, 114.08, -1.67
