Time (Milis), Pressure (Pa), x (g), y (g), z (g), gx, gy, gz, Temp (C), mx, my, mz, heading (rad)
0, 90851.00,-0.65,-0.13, 0.83,-3.20,-4.45,17.32,22.68, 459.08, -471.96, -212.52, -0.75
115, 90851.00,-0.67,-0.09, 0.78,-5.84, 1.95,20.87,22.66, 450.80, -479.32, -211.60, -0.77
230, 90856.00,-0.68,-0.03, 0.77,-3.27, 2.09,20.73,22.68, 437.92, -484.84, -205.16, -0.79
583, 90856.00,-0.65,-0.13, 0.77, 2.92,-1.25, 8.56,22.66, 435.16, -487.60, -207.92, -0.80
694, 90859.00,-0.64,-0.10, 0.78, 1.32,-1.18, 8.07,22.66, 434.24, -490.36, -205.16, -0.80
821, 90859.00,-0.63,-0.12, 0.80, 7.03, 2.92, 3.62,22.70, 433.32, -488.52, -204.24, -0.80
933, 90851.00,-0.64,-0.14, 0.78, 6.82, 2.23, 2.02,22.69, 437.92, -488.52, -195.96, -0.79
1044, 90856.00,-0.65,-0.11, 0.78,-9.74,-4.24, 4.73,22.66, 433.32, -493.12, -192.28, -0.80
1156, 90859.00,-0.60,-0.25, 0.71,-26.16,-26.78, 3.48,22.70, 413.08, -517.04, -156.40, -0.85
1267, 90854.00,-0.58,-0.30, 0.77,-21.84,-59.69, 3.83,22.68, 342.24, -548.32, -126.04, -0.97
1379, 90854.00,-0.40,-0.10, 0.76,-84.94,-66.57, 7.65,22.69, 254.84, -577.76, -11.96, -1.11
1495, 90851.00,-0.29,-0.61, 0.67,-126.05,23.10,49.60,22.67, 276.00, -553.84, 153.64, -1.06
1620, 90848.00,-0.61,-0.96, 0.57,-59.48,85.57,82.43,22.69, 356.04, -524.40, 187.68, -0.93
1731, 90841.00,-0.46,-0.62, 0.71,-40.70,-8.97,22.33,22.70, 376.28, -496.80, 229.08, -0.88
1850, 90851.00,-0.50,-0.89, 0.51,-44.45,57.18,-23.79,22.69, 379.04, -442.52, 322.92, -0.82
1961, 90848.00,-0.01,-1.47, 0.09,-64.90,290.85,-135.65,22.67, 362.48, -361.56, 421.36, -0.74
2078, 90848.00,-0.40,-0.54,-0.02,-75.34,-224.35,-27.20,22.70, 364.32, -340.40, 448.96, -0.71
2194, 90854.00,-0.48,-1.28,-0.06,-43.27,137.18,-34.57,22.70, 315.56, -250.24, 511.52, -0.62
2306, 90848.00,-0.15,-1.35, 0.13,-10.23,-7.10,94.26,22.70, 372.60, -241.04, 492.20, -0.53
2431, 90851.00,-0.39,-1.33, 0.04,29.22,-12.17,65.25,22.69, 429.64, -248.40, 455.40, -0.48
2542, 90848.00,-0.34,-1.11, 0.02,39.23, 4.45,18.30,22.69, 436.08, -288.88, 445.28, -0.54
2654, 90851.00,-0.35,-1.15, 0.06, 8.77,-52.80,-52.24,22.68, 368.92, -314.64, 468.28, -0.66
2764, 90854.00,-0.44,-1.00,-0.02, 9.53,-78.75,-13.57,22.69, 300.84, -334.88, 483.00, -0.79
2875, 90848.00,-0.34,-1.10,-0.01,15.86,-39.30,31.03,22.69, 291.64, -343.16, 482.08, -0.82
2987, 90851.00,-0.33,-1.17, 0.03,36.80,-69.57,87.51,22.67, 307.28, -386.40, 445.28, -0.85
3098, 90851.00,-0.35,-1.10,-0.01,11.13,-65.81,102.54,22.63, 339.48, -425.04, 395.60, -0.85
3222, 90848.00,-0.30,-1.32, 0.02,-36.03,-85.84,29.15,22.68, 278.76, -422.28, 423.20, -0.94
3337, 90854.00,-0.35,-1.29, 0.03,-53.01,-167.65,-7.86,22.68, 127.88, -379.96, 471.04, -1.20
3456, 90848.00,-0.31,-1.24, 0.03,-37.70,-130.92,20.80,22.67, 78.20, -347.76, 486.68, -1.30
3567, 90851.00,-0.28,-1.16, 0.02, 5.50,-110.89,64.97,22.66, 64.40, -315.56, 498.64, -1.32
3679, 90851.00,-0.33,-1.14, 0.03,15.30,-81.67,65.88,22.68, 86.48, -314.64, 495.88, -1.26
3796, 90848.00,-0.37,-1.00, 0.03,-51.69,-67.76,68.52,22.65, 132.48, -262.20, 522.56, -1.06
3907, 90851.00,-0.32,-1.18, 0.02,-65.18,-27.27,40.21,22.64, 115.00, -185.84, 539.12, -0.97
4035, 90859.00,-0.25,-1.51, 0.08,-44.45,-5.43,-44.80,22.62, 67.16, -149.96, 541.88, -1.10
4147, 90856.00,-0.25,-1.21, 0.05, 9.04,-89.88,-19.06,22.55, 15.64, -134.32, 534.52, -1.41
4260, 90859.00,-0.38,-1.10,-0.01,29.08,-48.07,-14.61,22.55, -16.56, -143.52, 525.32, -1.64
4371, 90865.00,-0.42,-1.01,-0.01,27.41,-62.26, 7.17,22.54, -11.04, -154.56, 529.92, -1.60
4483, 90854.00,-0.41,-1.20,-0.01, 3.41,-36.31,16.21,22.53, -7.36, -147.20, 533.60, -1.58
4594, 90859.00,-0.36,-1.13, 0.00,-40.42,-27.76,24.83,22.55, 11.04, -90.16, 535.44, -1.40
4711, 90865.00,-0.29,-1.29, 0.05,-55.93,-16.56,-7.93,22.51, -3.68, -42.32, 521.64, -1.61
4836, 90859.00,-0.29,-1.42, 0.04,29.57, 7.37, 5.22,22.50, -13.80, -46.00, 515.20, -1.82
4948, 90865.00,-0.32,-1.15,-0.03,121.67,58.99,40.42,22.48, 33.12, -186.76, 527.16, -1.35
5086, 90865.00,-0.32,-1.18,-0.04,96.97,123.27,53.43,22.46, 73.60, -249.32, 516.12, -1.24
5198, 90867.00,-0.31,-1.18,-0.03,15.58,136.70,17.88,22.45, 132.48, -277.84, 510.60, -1.08
5563, 90876.00,-0.35,-1.15,-0.01, 0.97,154.71,44.38,22.46, 147.20, -212.52, 528.08, -0.92
5687, 90873.00,-0.25,-1.46, 0.05,34.78,153.39,69.98,22.47, 255.76, -233.68, 507.84, -0.69
5804, 90867.00,-0.26,-1.27, 0.00,117.22,57.39,16.35,22.45, 276.00, -280.60, 491.28, -0.75
5921, 90878.00,-0.33,-1.26,-0.02,135.30,69.22,-78.47,22.43, 249.32, -366.16, 433.32, -0.93
6038, 90876.00,-0.33,-1.24,-0.01,59.69,13.15,-90.78,22.40, 163.76, -419.52, 396.52, -1.15
6155, 90876.00,-0.32,-1.22,-0.00,-76.31,-47.37,-14.96,22.34, 99.36, -380.88, 454.48, -1.27
6278, 90876.00,-0.29,-1.21, 0.02,-80.90,-19.34,90.71,22.37, 182.16, -300.84, 506.00, -0.98
6396, 90881.00,-0.20,-1.48, 0.06,44.87,42.37,64.28,22.33, 216.20, -309.12, 494.96, -0.91
6526, 90889.00,-0.17,-1.46, 0.06,130.78,24.70,-50.92,22.34, 230.00, -420.44, 414.92, -1.02
6643, 90889.00,-0.30,-1.17,-0.00,22.68,-54.26,-78.12,22.34, 159.16, -451.72, 367.08, -1.19
6760, 90876.00,-0.30,-1.27, 0.00,-129.67,-23.65,-17.04,22.34, 109.48, -376.28, 457.24, -1.24
6885, 90881.00,-0.25,-1.43, 0.05,-119.58, 6.75,60.80,22.33, 142.60, -242.88, 526.24, -0.99
7005, 90884.00,-0.29,-1.41, 0.04,-4.10, 2.50,43.41,22.34, 208.84, -231.84, 525.32, -0.79
7123, 90878.00,-0.32,-1.19,-0.03,138.57,-3.20,29.84,22.31, 243.80, -356.04, 460.92, -0.92
7246, 90881.00,-0.33,-1.11, 0.00,82.64,-17.11,-4.45,22.31, 250.24, -402.04, 424.12, -0.97
7377, 90881.00,-0.35,-1.04,-0.01,-91.48,-79.10,-14.26,22.33, 199.64, -394.68, 440.68, -1.06
7493, 90892.00,-0.30,-1.27,-0.02,-108.80,-92.59,13.70,22.31, 149.04, -281.52, 512.44, -1.04
7615, 90889.00,-0.31,-1.26, 0.00, 7.86,-73.81,10.57,22.32, 124.20, -252.08, 522.56, -1.07
7732, 90887.00,-0.26,-1.24, 0.00,99.76,-51.97,24.70,22.30, 101.20, -332.12, 489.44, -1.23
7850, 90887.00,-0.35,-1.07,-0.01,86.82,-78.40,20.10,22.34, 69.00, -396.52, 436.08, -1.35
7966, 90887.00,-0.28,-1.44, 0.02, 8.28,-32.42,64.63,22.33, 75.44, -382.72, 452.64, -1.33
8084, 90892.00,-0.18,-1.21, 0.03,-24.77,-59.97,65.74,22.31, 67.16, -359.72, 469.20, -1.34
8215, 90884.00,-0.32,-1.21, 0.02,-9.32,-108.38,62.61,22.31, 68.08, -325.68, 487.60, -1.32
8338, 90884.00,-0.36,-0.95,-0.01,-9.60,-116.10,19.06,22.31, 33.12, -277.84, 493.12, -1.41
8455, 90887.00,-0.24,-1.37, 0.04,-43.90,-65.04, 8.97,22.31, -6.44, -248.40, 507.84, -1.55
8579, 90895.00,-0.23,-1.43, 0.08,-113.95,-93.77,58.09,22.30, 21.16, -111.32, 534.52, -1.34
8697, 90889.00,-0.28,-1.40, 0.04,-74.99,-76.52,48.56,22.28, 77.28, -44.16, 531.76, -0.47
8813, 90892.00,-0.32,-0.97,-0.02,-0.28,-120.00,-22.05,22.29, 94.76, -34.96, 537.28, -0.31
8934, 90900.00,-0.41,-1.22, 0.00,-1.53,-4.10,-47.17,22.28, 27.60, -57.04, 538.20, -1.07
9071, 90895.00,-0.38,-1.03,-0.07,34.02,-46.19,-66.57,22.29, -46.92, -85.56, 532.68, -2.03
9189, 90892.00,-0.37,-1.14,-0.04,44.66,-49.81,-24.97,22.29, -81.88, -92.92, 525.32, -2.25
9306, 90892.00,-0.31,-1.00,-0.05,45.08,29.77,95.37,22.29, 36.80, -153.64, 554.76, -1.29
9424, 90895.00,-0.37,-0.94,-0.08,17.32,39.86,80.56,22.27, 170.20, -179.40, 555.68, -0.77
9541, 90898.00,-0.36,-1.05,-0.04,11.13,-23.44,-30.40,22.27, 121.44, -188.60, 552.92, -0.95
9662, 90903.00,-0.31,-1.32,-0.00, 6.05,-60.52,-92.03,22.28, -7.36, -154.56, 537.28, -1.57
9780, 90900.00,-0.29,-1.29,-0.06,-43.55,-5.50,60.24,22.29, 19.32, -83.72, 540.96, -1.30
9911, 90892.00,-0.32,-1.07,-0.05,-54.75,37.36,120.28,22.27, 113.16, 26.68, 518.88,  0.28
10028, 90895.00,-0.22,-1.10, 0.00,37.15,53.22,15.10,22.27, 135.24, 29.44, 516.12,  0.26
10146, 90905.00,-0.39,-1.13,-0.09,123.62,-46.19,-18.16,22.27, 96.60, -85.56, 549.24, -0.68
10278, 90898.00,-0.37,-1.29,-0.07,40.49,-105.88,-41.46,22.27,  0.92, -115.00, 547.40, -1.52
10425, 90908.00,-0.25,-1.03,-0.00,-66.09,-29.63,125.57,22.26, 97.52, -35.88, 554.76, -0.31
10626, 90905.00,-0.29,-1.08,-0.03,25.39,-133.15,-163.06,22.27, 157.32, -87.40, 562.12, -0.46
10918, 90913.00,-0.23,-1.33, 0.01,-42.64,-150.61,-51.13,22.26, 70.84, -20.24, 549.24, -0.23
11034, 90910.00,-0.21,-1.16, 0.02,-29.43,-9.81,97.74,22.26, 108.56,  7.36, 528.08,  0.11
11151, 90908.00,-0.34,-1.03,-0.01, 6.68, 0.00,178.23,22.27, 303.60, 28.52, 509.68,  0.14
11286, 90913.00,-0.24,-1.23, 0.01,33.60,-24.14,45.50,22.26, 388.24, -4.60, 489.44,  0.03
11404, 90916.00,-0.24,-1.25,-0.02,-10.71,-100.73,-88.21,22.26, 337.64, -36.80, 528.08, -0.06
11521, 90919.00,-0.22,-1.73, 0.07,-64.14,-184.42,-71.03,22.26, 256.68, -11.96, 551.08, -0.00
11639, 90916.00,-0.30,-1.12, 0.01,-41.74,-100.80,10.09,22.26, 316.48, 26.68, 513.36,  0.13
11770, 90927.00,-0.21,-1.09,-0.02,64.83,-43.20,76.31,22.26, 395.60, -59.80, 488.52, -0.10
11886, 90927.00,-0.31,-1.01,-0.04,73.88,-3.41,58.16,22.25, 431.48, -141.68, 470.12, -0.27
12006, 90927.00,-0.28,-1.12,-0.04, 8.00,-4.94,-42.78,22.25, 395.60, -128.80, 489.44, -0.27
12124, 90927.00,-0.33,-0.86,-0.05,-81.60,-53.08,-57.46,22.25, 323.84, -86.48, 527.16, -0.22
12244, 90930.00,-0.44,-0.92,-0.09,-56.83,-42.37,-30.96,22.25, 240.12, -26.68, 534.52, -0.06
12360, 90935.00,-0.46,-1.00,-0.08,11.55,25.32,-2.09,22.24, 227.24, -21.16, 540.04, -0.05
