Time (Milis), Pressure (Pa), x (g), y (g), z (g), gx, gy, gz, Temp (C), mx, my, mz, heading (rad)
0, 95432.00, 0.13, 0.02, 0.81, 6.68, 0.00, 5.70,23.19, 259.44, -540.96, 44.16, -1.08
76, 95429.00, 0.14, 0.01, 0.82, 6.68, 0.00, 5.70,23.11, 260.36, -538.20, 42.32, -1.07
152, 95429.00, 0.14, 0.01, 0.81, 6.68, 0.00, 5.70,23.11, 259.44, -539.12, 43.24, -1.08
228, 95426.00, 0.14, 0.02, 0.82, 6.68, 0.00, 5.70,23.16, 262.20, -537.28, 41.40, -1.07
304, 95439.00, 0.14, 0.02, 0.82, 6.68,-0.07, 5.70,23.19, 262.20, -539.12, 45.08, -1.07
382, 95432.00, 0.14, 0.01, 0.81, 6.68, 0.00, 5.77,23.15, 259.44, -541.88, 44.16, -1.08
465, 95439.00, 0.13, 0.02, 0.82, 6.68, 0.00, 5.77,23.08, 262.20, -537.28, 43.24, -1.07
541, 95423.00, 0.13, 0.01, 0.81, 6.68, 0.00, 5.70,23.09, 260.36, -539.12, 44.16, -1.08
618, 95434.00, 0.12, 0.00, 0.82, 6.68, 0.00, 5.77,23.17, 261.28, -540.04, 44.16, -1.07
693, 95434.00, 0.13, 0.02, 0.81, 6.68, 0.00, 5.70,23.19, 259.44, -540.04, 45.08, -1.08
769, 95434.00, 0.13, 0.02, 0.81, 6.75, 0.00, 5.77,23.16, 261.28, -539.12, 42.32, -1.07
848, 95436.00, 0.14, 0.02, 0.82, 6.68, 0.00, 5.77,23.20, 261.28, -537.28, 44.16, -1.07
924, 95423.00, 0.14, 0.01, 0.81, 6.68, 0.00, 5.77,23.10, 258.52, -540.04, 41.40, -1.08
1000, 95432.00, 0.14, 0.02, 0.81, 6.68, 0.00, 5.77,23.01, 262.20, -539.12, 42.32, -1.07
1075, 95429.00, 0.13, 0.03, 0.83, 6.68, 0.00, 5.77,22.98, 259.44, -540.04, 41.40, -1.08
1152, 95432.00, 0.14, 0.01, 0.82, 6.68, 0.00, 5.70,23.13, 259.44, -540.04, 44.16, -1.08
1228, 95423.00, 0.14, 0.01, 0.81, 6.68, 0.00, 5.77,23.10, 261.28, -539.12, 41.40, -1.07
1311, 95426.00, 0.14, 0.02, 0.81, 6.75, 0.00, 5.77,23.18, 258.52, -539.12, 44.16, -1.08
1387, 95423.00, 0.14, 0.01, 0.81, 6.68, 0.00, 5.77,23.10, 261.28, -540.96, 44.16, -1.08
1462, 95429.00, 0.13, 0.02, 0.82, 6.68, 0.00, 5.77,23.16, 258.52, -539.12, 42.32, -1.08
1545, 95423.00, 0.13, 0.02, 0.82, 6.68, 0.00, 5.77,23.18, 260.36, -537.28, 43.24, -1.07
1622, 95429.00, 0.13, 0.02, 0.82, 6.68, 0.00, 5.70,23.19, 260.36, -538.20, 44.16, -1.07
1698, 95426.00, 0.14, 0.01, 0.82, 6.68, 0.00, 5.77,23.21, 259.44, -538.20, 43.24, -1.08
1776, 95434.00, 0.13, 0.01, 0.81, 6.68, 0.00, 5.77,23.20, 260.36, -537.28, 42.32, -1.07
1851, 95432.00, 0.14, 0.01, 0.83, 6.68, 0.00, 5.77,23.17, 262.20, -538.20, 43.24, -1.07
1928, 95423.00, 0.13, 0.01, 0.81, 6.68, 0.00, 5.77,23.19, 261.28, -538.20, 42.32, -1.07
2004, 95429.00, 0.14, 0.01, 0.81, 6.68, 0.00, 5.77,23.11, 262.20, -538.20, 44.16, -1.07
2080, 95423.00, 0.13, 0.02, 0.81, 6.68, 0.00, 5.77,23.15, 259.44, -539.12, 43.24, -1.08
2158, 95434.00, 0.13, 0.01, 0.81, 6.68, 0.00, 5.77,23.12, 259.44, -540.04, 46.00, -1.08
2234, 95432.00, 0.14, 0.02, 0.82, 6.75, 0.00, 5.77,23.17, 259.44, -538.20, 44.16, -1.08
2310, 95429.00, 0.13, 0.02, 0.82, 6.68,-0.07, 5.70,23.10, 260.36, -540.04, 39.56, -1.08
2391, 95423.00, 0.14, 0.01, 0.81, 6.75, 0.00, 5.77,23.07, 263.12, -539.12, 42.32, -1.07
2467, 95429.00, 0.14, 0.01, 0.81, 6.68, 0.00, 5.77,23.17, 259.44, -540.04, 42.32, -1.08
2543, 95432.00, 0.13, 0.01, 0.82, 6.68, 0.00, 5.70,23.20, 262.20, -540.96, 45.08, -1.07
2692, 95429.00, 0.13, 0.02, 0.82, 6.68, 0.00, 5.70,22.99, 260.36, -539.12, 42.32, -1.08
