Time (Milis), Pressure (Pa), x (g), y (g), z (g), gx, gy, gz, Temp (C), mx, my, mz, heading (rad)
0, 91407.00,-0.48,-0.62, 0.67, 8.42,13.08,-0.97,19.96, 264.96, -581.44, 17.48, -1.10
116, 91405.00,-0.48,-0.68, 0.74, 6.33, 7.30,-4.17,19.97, 271.40, -577.76, 20.24, -1.09
231, 91405.00,-0.52,-0.65, 0.73, 9.46, 3.97,-0.77,19.97, 272.32, -579.60, 21.16, -1.09
343, 91410.00,-0.51,-0.66, 0.68,14.47,-1.39, 5.08,19.96, 270.48, -578.68, 11.04, -1.09
455, 91410.00,-0.49,-0.67, 0.69,11.69,-8.77, 8.90,19.97, 256.68, -583.28,  5.52, -1.11
576, 91405.00,-0.44,-0.61, 0.76,11.97,-12.03,11.20,19.97, 238.28, -584.20, -7.36, -1.14
689, 91416.00,-0.48,-0.62, 0.79,16.14,-7.58, 9.67,19.98, 225.40, -586.04, -18.40, -1.16
814, 91402.00,-0.47,-0.57, 0.73,13.36,-2.78, 6.75,19.97, 216.20, -588.80, -27.60, -1.17
927, 91413.00,-0.42,-0.68, 0.78, 7.72, 1.11, 8.21,19.96, 217.12, -591.56, -33.12, -1.17
1038, 91407.00,-0.37,-0.48, 0.71, 4.87, 1.53,22.47,19.97, 217.12, -591.56, -31.28, -1.17
1151, 91407.00,-0.34,-0.55, 0.79,
