Time (Milis), Pressure (Pa), x (g), y (g), z (g), gx, gy, gz, Temp (C), mx, my, mz, heading (rad)
0, 95056.00, 0.19, 0.46, 0.75, 6.68,-0.28, 6.05,17.91, -61.64, -399.28, -233.68, -1.68
99, 95054.00, 0.18, 0.46, 0.73, 6.82,-0.42, 6.05,17.93, -61.64, -400.20, -233.68, -1.68
217, 95059.00, 0.18, 0.46, 0.73, 7.17,-0.07, 6.19,17.94, -63.48, -399.28, -234.60, -1.68
311, 95051.00, 0.18, 0.46, 0.73, 6.82,-0.63, 5.91,17.95, -61.64, -401.12, -233.68, -1.68
406, 95042.00, 0.18, 0.46, 0.74, 6.61,-0.56, 5.91,17.95, -62.56, -400.20, -231.84, -1.68
505, 95048.00, 0.18, 0.47, 0.74, 6.82,-0.56, 5.98,17.98, -62.56, -402.04, -232.76, -1.68
600, 95045.00, 0.18, 0.46, 0.73, 6.89,-0.42, 5.84,17.98, -62.56, -398.36, -232.76, -1.68
695, 95054.00, 0.18, 0.46, 0.73, 6.33,-0.42, 5.77,18.00, -63.48, -400.20, -230.92, -1.68
789, 95048.00, 0.20, 0.46, 0.74, 5.98,-0.83, 5.57,18.01, -60.72, -402.04, -231.84, -1.67
898, 95054.00, 0.19, 0.45, 0.73, 5.84,-2.09, 4.87,18.03, -63.48, -398.36, -233.68, -1.68
993, 95054.00, 0.20, 0.45, 0.74, 7.51, 0.63, 7.37,18.04, -61.64, -402.04, -233.68, -1.68
