Time (Milis), Pressure (Pa), x (g), y (g), z (g), gx, gy, gz, Temp (C), mx, my, mz, heading (rad)
0, 93249.00,-0.29, 0.07, 0.75, 7.37,30.89,113.53,19.05, 448.96, -635.72, -52.44, -0.91
68, 93258.00,-0.36,-0.07, 0.93,-10.71,16.28,81.88,19.04, 437.92, -626.52, -77.28, -0.92
137, 93249.00,-0.46, 0.04, 0.68,-31.86,61.98,71.10,19.04, 465.52, -598.00, -95.68, -0.86
212, 93263.00,-0.45, 0.01, 0.73,56.35,121.74,36.87,19.05, 505.08, -564.88, -94.76, -0.80
273, 93255.00,-0.64, 0.01, 0.56,54.82,82.92, 4.80,19.04, 568.56, -493.12, -156.40, -0.67
338, 93252.00,-0.64, 0.11, 0.61,71.58,89.32,-25.74,19.04, 597.08, -440.68, -167.44, -0.59
399, 93252.00,-0.84, 0.07, 0.73,74.09,31.51,-20.94,19.06, 606.28, -404.80, -182.16, -0.54
460, 93252.00,-0.78,-0.09, 0.72,98.78,29.36,-52.87,19.04, 614.56, -370.76, -184.92, -0.50
521, 93252.00,-0.67,-0.08, 0.65,-5.77, 7.93,-57.46,19.05, 625.60, -361.56, -152.72, -0.48
583, 93255.00,-0.69,-0.59, 0.67,-25.18,-2.30,-44.03,19.04, 628.36, -368.00, -96.60, -0.48
657, 93249.00,-0.88,-0.32, 0.76,-32.35,-51.83,-26.23,19.04, 624.68, -374.44, -75.44, -0.49
724, 93252.00,-0.63,-0.14, 0.70,-8.49,-54.82,12.66,19.04, 592.48, -412.16, -61.64, -0.56
785, 93247.00,-0.64,-0.28, 0.66,-4.87,-31.03, 8.35,19.04, 570.40, -423.20, -52.44, -0.59
846, 93252.00,-0.65,-0.10, 0.77,21.22,-12.45,58.37,19.05, 554.76, -430.56, -80.04, -0.61
914, 93252.00,-0.57,-0.02, 0.79,28.45,-45.15,30.54,19.04, 537.28, -439.76, -105.80, -0.64
976, 93258.00,-0.38,-0.09, 0.89,-2.09,-43.55,35.27,19.05, 500.48, -461.84, -111.32, -0.70
1040, 93258.00,-0.56, 0.06, 0.86,22.82,-22.12,45.84,19.05, 492.20, -459.08, -133.40, -0.70
1115, 93252.00,-0.36, 0.07, 0.86,23.86,-25.53,33.88,19.05, 464.60, -472.88, -137.08, -0.75
1176, 93252.00,-0.45, 0.09, 0.74,-6.05,-15.44, 2.23,19.05, 458.16, -475.64, -144.44, -0.76
1238, 93255.00,-0.19, 0.16, 0.91,23.17,-34.50,-26.30,19.05, 432.40, -488.52, -138.00, -0.80
1298, 93255.00,-0.37,-0.10, 0.86,21.91,-20.10,-42.78,19.04, 431.48, -494.04, -122.36, -0.81
1360, 93249.00,-0.37,-0.06, 0.81,18.23,-72.77,-63.93,19.05, 398.36, -508.76, -111.32, -0.86
1425, 93252.00,-0.41,-0.00, 0.87,-32.21,-127.93,-60.38,19.05, 346.84, -533.60, -57.04, -0.95
1487, 93258.00,-0.10, 0.17, 0.79,38.82,-40.42,-20.66,19.05, 303.60, -535.44, -96.60, -1.01
1561, 93252.00,-0.43, 0.07, 0.81,24.83,-10.99,21.36,19.05, 306.36, -531.76, -112.24, -1.00
1623, 93249.00,-0.17,-0.17, 0.63,45.43,-88.90,24.77,19.06, 248.40, -536.36, -126.04, -1.09
1683, 93252.00, 0.15, 0.07, 0.87,64.83,-86.54,-30.12,19.05, 178.48, -529.92, -172.04, -1.20
1751, 93249.00, 0.07, 0.24, 0.49,12.31,-35.06,-41.60,19.05, 174.80, -527.16, -184.92, -1.20
1825, 93252.00, 1.23, 0.56, 0.43,-19.83,-131.34,66.64,19.05, 81.88, -520.72, -170.20, -1.37
1886, 93249.00, 0.24, 0.07, 0.48,-33.11,-39.44,-18.37,19.05, 62.56, -530.84, -132.48, -1.41
1948, 93247.00, 0.30, 0.22, 0.63,-33.88,-45.08,-20.45,19.06, 46.92, -532.68, -119.60, -1.44
2022, 93249.00, 0.40, 0.34, 0.75,-52.45,-33.04,-4.38,19.06, 24.84, -529.92, -96.60, -1.48
2084, 93252.00, 0.41, 0.00, 0.70,-41.04,-22.75,-30.82,19.06, 12.88, -532.68, -62.56, -1.50
2148, 93249.00, 0.40,-0.02, 0.92,-25.67,11.13,-33.04,19.05, 21.16, -536.36, -54.28, -1.49
2210, 93247.00, 0.32,-0.09, 0.63,-38.05, 6.47,-32.63,19.05, 25.76, -541.88, -32.20, -1.48
2271, 93252.00, 0.28,-0.23, 0.57,-33.81,17.04,-35.55,19.05, 36.80, -547.40, -20.24, -1.46
2333, 93247.00, 0.25,-0.15, 0.69,-46.61, 6.19,-25.53,19.05, 41.40, -548.32, 13.80, -1.45
